W,VAR,VA,f,V,PF,A,Label
140.439,-29.054,143.413,49.99,189.08,0.979,0.758,"Fan,Motor,Laptop"
144.859,-29.332,147.799,50.01,189.24,0.98,0.781,"Fan,Motor,Laptop"
146.755,-29.215,149.634,49.99,189.02,0.981,0.792,"Fan,Motor,Laptop"
145.091,-29.237,148.007,50,189.21,0.98,0.782,"Fan,Motor,Laptop"
145.709,-29.457,148.657,49.99,189.09,0.98,0.786,"Fan,Motor,Laptop"
202.306,-31.438,204.734,50.16,233.1,0.988,0.878,"Fan,Motor,Laptop,Iron"
203.658,-31.11,206.02,50.18,232.98,0.989,0.884,"Fan,Motor,Laptop,Iron"
76.634,-98.502,124.801,50.17,234.09,0.614,0.533,
2.138,2.519,3.304,50.16,234.78,0.647,0.014,Fan
2.203,2.497,3.329,50.18,234.68,0.662,0.014,Fan
222.423,-32.932,224.847,50.16,232.83,0.989,0.966,"Fan,Motor,Laptop,Iron"
221.376,-32.416,223.737,50.19,232.88,0.989,0.961,"Fan,Motor,Laptop,Iron"
218.181,-31.841,220.492,50.16,232.91,0.99,0.947,"Fan,Motor,Laptop,Iron"
214.771,-31.621,217.086,50.16,232.84,0.989,0.932,"Fan,Motor,Laptop,Iron"
91.782,-103.243,138.141,50.15,234.07,0.664,0.59,
2.017,2.476,3.194,50.16,234.63,0.632,0.014,Fan
120.704,-140.307,185.082,50.16,233.81,0.652,0.792,"Fan,Motor,Laptop"
199.975,-30.426,202.277,50.16,233.28,0.989,0.867,"Fan,Motor,Laptop"
201.091,-30.642,203.412,50.17,233.23,0.989,0.872,"Fan,Motor,Laptop,Iron"
196.839,-29.572,199.048,50.18,233.38,0.989,0.853,"Fan,Motor,Laptop"
194.881,-29.942,199.249,50.16,233.23,0.988,0.845,"Fan,Motor,Laptop"
195.079,-105.155,125.413,50.17,233.28,0.545,0.846,"Fan,Motor,Laptop"
2.173,2.489,3.304,50.17,234.84,0.658,0.014,Fan
2.036,60.225,61.445,50.15,234.75,0.198,0.262,Fan
177.959,-34.412,221.137,50.13,233.53,0.988,0.947,
225.997,-32.834,226.328,50.16,233.3,0.989,0.971,
219.107,-31.622,221.377,50.15,233.16,0.99,0.949,"Fan,Motor,Laptop,Iron"
215.264,-31.03,217.489,50.16,233.22,0.99,0.933,"Fan,Motor,Laptop,Iron"
209.961,-29.902,212.08,50.14,233.12,0.99,0.91,"Fan,Motor,Laptop,Iron"
12.754,-46.117,47.849,50.14,234.63,0.267,0.204,Fan
2.051,2.412,3.166,50.17,234.64,0.648,0.013,Fan
199.372,-98.736,222.481,50.17,233.21,0.896,0.954,"Fan,Motor,Laptop"
206.662,-31.584,209.061,50.17,233.15,0.989,0.897,"Fan,Motor,Laptop,Iron"
200.95,-30.489,203.25,50.15,233.19,0.989,0.872,"Fan,Motor,Laptop,Iron"
200.998,-30.224,203.257,50.16,233.28,0.989,0.871,"Fan,Motor,Laptop,Iron"
200.971,-30.11,203.214,50.16,233.35,0.989,0.871,"Fan,Motor,Laptop,Iron"
196.011,-28.907,198.131,50.18,233.26,0.989,0.849,"Fan,Motor,Laptop"
2.181,2.516,3.33,50.16,234.72,0.655,0.014,Fan
2.119,2.464,3.25,50.18,234.73,0.652,0.014,Fan
227.587,-34.039,230.118,50.18,233.1,0.989,0.987,"Fan,Motor,Laptop,Iron"
230.51,-33.757,232.968,50.16,232.97,0.989,1,"Fan,Motor,Laptop,Iron"
225.035,-32.485,227.367,50.17,233.2,0.99,0.975,"Fan,Motor,Laptop,Iron"
218.585,-31.837,220.891,50.17,233.07,0.99,0.948,"Fan,Motor,Laptop,Iron"
216.06,-31.164,218.296,50.16,233.09,0.99,0.937,"Fan,Motor,Laptop,Iron"
